mct_course_id,title,org,course_number,run,package_path,module_count,lesson_count
279,Module 1: Introduction to Artificial Intelligence and Responsible Use of AI in Education,SKILLOURFUTURE,MCT-279,RUN-279,module-1-introduction-to-artificial-intelligence-and-respons/module-1-introduction-to-artificial-intelligence-and-respons.tar.gz,1,12
281,Nhập môn 1: Artificial Intelligence,SKILLOURFUTURE,MCT-281,RUN-281,nha-p-mo-n-1-artificial-intelligence/nha-p-mo-n-1-artificial-intelligence.tar.gz,1,4
270,Module 0: Introduction to Digital Productivity,SKILLOURFUTURE,MCT-270,RUN-270,module-0-introduction-to-digital-productivity/module-0-introduction-to-digital-productivity.tar.gz,1,1
214,Module 01: Designing a Document in Word,SKILLOURFUTURE,MCT-214,RUN-214,module-01-designing-a-document-in-word/module-01-designing-a-document-in-word.tar.gz,1,5
216,Module 02: Designing an Excel Sheet,SKILLOURFUTURE,MCT-216,RUN-216,module-02-designing-an-excel-sheet/module-02-designing-an-excel-sheet.tar.gz,1,6
217,Module 03: Getting started with OneNote,SKILLOURFUTURE,MCT-217,RUN-217,module-03-getting-started-with-onenote/module-03-getting-started-with-onenote.tar.gz,1,3
218,Module 04: Connecting with Outlook,SKILLOURFUTURE,MCT-218,RUN-218,module-04-connecting-with-outlook/module-04-connecting-with-outlook.tar.gz,1,3
219,Module 05: Creating a Powerpoint Presentation,SKILLOURFUTURE,MCT-219,RUN-219,module-05-creating-a-powerpoint-presentation/module-05-creating-a-powerpoint-presentation.tar.gz,1,5
237,Module 06: Access Information Online,SKILLOURFUTURE,MCT-237,RUN-237,module-06-access-information-online/module-06-access-information-online.tar.gz,1,10
238,Module 07: Participate Safely and Responsibly Online,SKILLOURFUTURE,MCT-238,RUN-238,module-07-participate-safely-and-responsibly-online/module-07-participate-safely-and-responsibly-online.tar.gz,1,4
239,Module 08: Collaborating with Outlook,SKILLOURFUTURE,MCT-239,RUN-239,module-08-collaborating-with-outlook/module-08-collaborating-with-outlook.tar.gz,1,4
240,Module 09: Collaborate Online in Word,SKILLOURFUTURE,MCT-240,RUN-240,module-09-collaborate-online-in-word/module-09-collaborate-online-in-word.tar.gz,1,3
241,Module 10: Sharing Content with OneDrive,SKILLOURFUTURE,MCT-241,RUN-241,module-10-sharing-content-with-onedrive/module-10-sharing-content-with-onedrive.tar.gz,1,4
242,"Module 11: Using Chat, Video Calls, and Group Video Meetings",SKILLOURFUTURE,MCT-242,RUN-242,module-11-using-chat-video-calls-and-group-video-meetings/module-11-using-chat-video-calls-and-group-video-meetings.tar.gz,1,5
225,Building a Standout CV for Career Success,SKILLOURFUTURE,MCT-225,RUN-225,building-a-standout-cv-for-career-success/building-a-standout-cv-for-career-success.tar.gz,1,3
224,Digital Branding & Employability - Level 1,SKILLOURFUTURE,MCT-224,RUN-224,digital-branding-employability-level-1/digital-branding-employability-level-1.tar.gz,1,6
227,Green Jobs & Sustainability Careers [Level 1],SKILLOURFUTURE,MCT-227,RUN-227,green-jobs-sustainability-careers-level-1/green-jobs-sustainability-careers-level-1.tar.gz,1,9
282,How to find your dream job,SKILLOURFUTURE,MCT-282,RUN-282,how-to-find-your-dream-job/how-to-find-your-dream-job.tar.gz,1,5
226,Mastering The Art of Interview,SKILLOURFUTURE,MCT-226,RUN-226,mastering-the-art-of-interview/mastering-the-art-of-interview.tar.gz,1,3
273,Personal Branding through LinkedIn,SKILLOURFUTURE,MCT-273,RUN-273,personal-branding-through-linkedin/personal-branding-through-linkedin.tar.gz,1,3
337,Xu hướng việc làm xanh dành cho thanh niên,SKILLOURFUTURE,MCT-337,RUN-337,xu-h-ng-vi-c-l-m-xanh-d-nh-cho-thanh-ni-n/xu-h-ng-vi-c-l-m-xanh-d-nh-cho-thanh-ni-n.tar.gz,1,4
