course_id,course_name,course_description,category_name
24,AI Fluency,,AI Fluency
16,Basic Microsoft,,Basic Microsoft
14,Employability,,Employability
45,Become an Entrepreneur,,Become an Entrepreneur
30,Climate Education,,Climate Education
44,Content Creation,,Content Creation
27,Digital Literacy,,Digital Literacy
32,FOW (ENG) | Personal Branding,,FOW (ENG) | Personal Branding
35,FOW (ENG) | Personal Finance,,FOW (ENG) | Personal Finance
33,FOW (IND) | Personal Branding,,FOW (IND) | Personal Branding
15,Mobile Literacy,,Mobile Literacy
1,Soft Skills,,Soft Skills
46,Speak with Impact,,Speak with Impact
31,Your Future in Green Jobs,,Your Future in Green Jobs
