kajabi_course_id,title,org,course_number,run,package_path,module_count,lesson_count
2148087502,Digital Presence,MEREKA,MEKA-2148087502,RUN-2148087502,digital-presence/digital-presence.tar.gz,16,84
2147940642,Securing Your First Job,MEREKA,MEKA-2147940642,RUN-2147940642,securing-your-first-job/securing-your-first-job.tar.gz,12,136
2147807951,Managing Your First Client,MEREKA,MEKA-2147807951,RUN-2147807951,managing-your-first-client/managing-your-first-client.tar.gz,14,116
2148181267,Skills Test - Operation Management,MEREKA,MEKA-2148181267,RUN-2148181267,skills-test-operation-management/skills-test-operation-management.tar.gz,6,32
2147950554,Skills Profiling,MEREKA,MEKA-2147950554,RUN-2147950554,skills-profiling/skills-profiling.tar.gz,12,100
2148165749,Skills Test: Digital Marketing,MEREKA,MEKA-2148165749,RUN-2148165749,skills-test-digital-marketing/skills-test-digital-marketing.tar.gz,6,32
2148534690,Pitch Perfect: Crafting and Presenting Your Winning Proposition,MEREKA,MEKA-2148534690,RUN-2148534690,pitch-perfect-crafting-and-presenting-your-winning-propositi/pitch-perfect-crafting-and-presenting-your-winning-propositi.tar.gz,6,32
2148534593,Driving Change: ESG Strategies for Lasting Business Impact,MEREKA,MEKA-2148534593,RUN-2148534593,driving-change-esg-strategies-for-lasting-business-impact/driving-change-esg-strategies-for-lasting-business-impact.tar.gz,6,36
2147809081,Securing Your First Client,MEREKA,MEKA-2147809081,RUN-2147809081,securing-your-first-client/securing-your-first-client.tar.gz,12,88
2148651881,Championing Sustainability through Digital Innovation,MEREKA,MEKA-2148651881,RUN-2148651881,championing-sustainability-through-digital-innovation/championing-sustainability-through-digital-innovation.tar.gz,2,8
2147808958,Personal Wellbeing,MEREKA,MEKA-2147808958,RUN-2147808958,personal-wellbeing/personal-wellbeing.tar.gz,10,108
2147933335,Personal Finance,MEREKA,MEKA-2147933335,RUN-2147933335,personal-finance/personal-finance.tar.gz,14,112
2147934068,Thriving In Your Job,MEREKA,MEKA-2147934068,RUN-2147934068,thriving-in-your-job/thriving-in-your-job.tar.gz,12,108
2149164179,Artificial Intelligence untuk Tenaga Pendidik (Bagian 2),MEREKA,MEKA-2149164179,RUN-2149164179,artificial-intelligence-untuk-tenaga-pendidik-bagian-2/artificial-intelligence-untuk-tenaga-pendidik-bagian-2.tar.gz,8,104
2149223867,Building Agents in Copilot Chat (MY),MEREKA,MEKA-2149223867,RUN-2149223867,building-agents-in-copilot-chat-my/building-agents-in-copilot-chat-my.tar.gz,2,4
2149165828,Desain pembelajaran abad ke-21,MEREKA,MEKA-2149165828,RUN-2149165828,desain-pembelajaran-abad-ke-21/desain-pembelajaran-abad-ke-21.tar.gz,16,64
2148896997,Business Marketing and Branding,MEREKA,MEKA-2148896997,RUN-2148896997,business-marketing-and-branding/business-marketing-and-branding.tar.gz,4,24
2149223856,Menjadi Peneroka AI: Satu Jam Pengembaran Koding bersama Minecraft Education (Pelajar K-12),MEREKA,MEKA-2149223856,RUN-2149223856,menjadi-peneroka-ai-satu-jam-pengembaran-koding-bersama-mine/menjadi-peneroka-ai-satu-jam-pengembaran-koding-bersama-mine.tar.gz,2,12
2148651879,Empowering MSMEs in their Journey to Digitalization,MEREKA,MEKA-2148651879,RUN-2148651879,empowering-msmes-in-their-journey-to-digitalization/empowering-msmes-in-their-journey-to-digitalization.tar.gz,2,8
2149199805,AI for Educator (Part 2),MEREKA,MEKA-2149199805,RUN-2149199805,ai-for-educator-part-2/ai-for-educator-part-2.tar.gz,6,24
2149199919,Introduction to Learning Accelerators,MEREKA,MEKA-2149199919,RUN-2149199919,introduction-to-learning-accelerators/introduction-to-learning-accelerators.tar.gz,2,12
2148258227,Kesejahteraan Kendiri,MEREKA,MEKA-2148258227,RUN-2148258227,kesejahteraan-kendiri/kesejahteraan-kendiri.tar.gz,10,108
2148674574,Building an Inclusive Digital Economy for Local Communities,MEREKA,MEKA-2148674574,RUN-2148674574,building-an-inclusive-digital-economy-for-local-communities/building-an-inclusive-digital-economy-for-local-communities.tar.gz,2,8
2148534676,Communicate with Impact: Strategies for Public Engagement and Influence,MEREKA,MEKA-2148534676,RUN-2148534676,communicate-with-impact-strategies-for-public-engagement-and/communicate-with-impact-strategies-for-public-engagement-and.tar.gz,6,40
2148674587,Maximizing Business Potential Using Digital Tools and Insights,MEREKA,MEKA-2148674587,RUN-2148674587,maximizing-business-potential-using-digital-tools-and-insigh/maximizing-business-potential-using-digital-tools-and-insigh.tar.gz,2,8
2148258261,Pekerja Lepas 101,MEREKA,MEKA-2148258261,RUN-2148258261,pekerja-lepas-101/pekerja-lepas-101.tar.gz,12,100
2148864407,Boost Your Productivity with Microsoft Copilot,MEREKA,MEKA-2148864407,RUN-2148864407,boost-your-productivity-with-microsoft-copilot/boost-your-productivity-with-microsoft-copilot.tar.gz,2,40
2148256173,Profil Keterampilan yang Membuatmu Unggul,MEREKA,MEKA-2148256173,RUN-2148256173,profil-keterampilan-yang-membuatmu-unggul/profil-keterampilan-yang-membuatmu-unggul.tar.gz,12,100
